"RELAÇÃO DAS ESCOLAS ESTADUAIS (ESTABELECIMENTOS DE ENSINO), ENDEREÇO E E-MAIL",,,,,,,,3569
Municipio,UREGI,SRE,ESTABELECIMENTO DE ENSINO,E-MAIL (INSTITUCIONAL),SITUAÇÃO MAPA (X -> ENVIADO & VAZIO -> NÃO ENVIADO),DATA DE ACUSAÇÃO DE RECEBIMENTO,DATA DE ENVIO DO MAPA PARA AS ESCOLAS,2662
ÁGUAS FORMOSAS,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE JOSÉ QUARESMA DA COSTA,escola.145955@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
ÁGUAS FORMOSAS,TEÓFILO OTONI,SRE TEÓFILO OTONI,EE MAJOR RAIMUNDO FELICÍSSIMO,escola.145963@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
ÁGUAS VERMELHAS,SALINAS,SRE ALMENARA,EE CORONEL JOSÉ VENÂNCIO DE SOUSA,escola.184381@educacao.mg.gov.br,X,24/05/2022,24/05/2022,
ÁGUAS VERMELHAS,SALINAS,SRE ALMENARA,EE DE ITAMARATI,escola.184462@educacao.mg.gov.br,X,24/05/2022,24/05/2022,
ÁGUAS VERMELHAS,SALINAS,SRE ALMENARA,EE DE MACHADO MINEIRO,escola.184403@educacao.mg.gov.br,X,24/05/2022,24/05/2022,
ÁGUAS VERMELHAS,SALINAS,SRE ALMENARA,EE JOAQUIM FERNANDES ABADE,escola.184420@educacao.mg.gov.br,X,24/05/2022,24/05/2022,
AIMORÉS,GOVERNADOR VALADARES,SRE GOVERNADOR VALADARES,EE AMÉRICO MARTINS DA COSTA,escola.41769@educacao.mg.gov.br,,,,
AIMORÉS,GOVERNADOR VALADARES,SRE GOVERNADOR VALADARES,EE DR NELSON DARBY DE ASSIS,escola.41840@educacao.mg.gov.br,,,,
AIMORÉS,GOVERNADOR VALADARES,SRE GOVERNADOR VALADARES,EE FREI AFONSO MARIA JORDÁ,escola.41785@educacao.mg.gov.br,,,,
AIMORÉS,GOVERNADOR VALADARES,SRE GOVERNADOR VALADARES,EE JOSÉ HENRIQUE FILHO,escola.41904@educacao.mg.gov.br,,,,
AIMORÉS,GOVERNADOR VALADARES,SRE GOVERNADOR VALADARES,EE JOSÉ TEIXEIRA FRANCO,escola.41858@educacao.mg.gov.br,,,,
AIMORÉS,GOVERNADOR VALADARES,SRE GOVERNADOR VALADARES,EE MACHADO DE ASSIS,escola.41793@educacao.mg.gov.br,,,,
AIMORÉS,GOVERNADOR VALADARES,SRE GOVERNADOR VALADARES,EE MANOEL VICTORINO DE OLIVEIRA,escola.41912@educacao.mg.gov.br,,,,
AIMORÉS,GOVERNADOR VALADARES,SRE GOVERNADOR VALADARES,EE MARIA DE CASTRO PAIVA,escola.41866@educacao.mg.gov.br,,,,
AIMORÉS,GOVERNADOR VALADARES,SRE GOVERNADOR VALADARES,EE REVERENDO RAFAEL LEONOR,escola.41823@educacao.mg.gov.br,,,,
AIURUOCA,LAVRAS,SRE CAXAMBU,EE CONSELHEIRO FIDÉLIS,escola.170682@educacao.mg.gov.br,X,20/5/2022,20/5/2022,
ALAGOA,LAVRAS,SRE CAXAMBU,EE MARIA DO CARMO LIMA PINTO,escola.276464@educacao.mg.gov.br,x,15/05/2022,13/05/2022,
ALBERTINA,GUAXUPÉ,SRE POUSO ALEGRE,EE JOSÉ GOMES DE MORAIS FILHO,escola.294705@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
ALÉM PARAÍBA,MURIAÉ,SRE LEOPOLDINA,EE BARÃO SÃO GERALDO,escola.96555@educacao.mg.gov.br,x,,,
ALÉM PARAÍBA,MURIAÉ,SRE LEOPOLDINA,EE DOUTOR ALFREDO CASTELO BRANCO,escola.96458@educacao.mg.gov.br,x,,,
ALÉM PARAÍBA,MURIAÉ,SRE LEOPOLDINA,EE SANTA RITA,escola.96539@educacao.mg.gov.br,x,,,
ALÉM PARAÍBA,MURIAÉ,SRE LEOPOLDINA,EE SÃO JOSÉ,escola.96512@educacao.mg.gov.br,x,,,
ALÉM PARAÍBA,MURIAÉ,SRE LEOPOLDINA,EE SEBASTIÃO CERQUEIRA,escola.96521@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
ALFENAS,ALFENAS,SRE VARGINHA,EE CORONEL JOSÉ BENTO,escola.170755@educacao.mg.gov.br,x,24/05/2022,,
ALFENAS,ALFENAS,SRE VARGINHA,EE DE EDUCAÇÃO ESPECIAL ESPERANÇA,escola.220931@educacao.mg.gov.br,x,24/05/2022,,
ALFENAS,ALFENAS,SRE VARGINHA,EE DIRCE MOURA LEITE,escola.170828@educacao.mg.gov.br,x,24/05/2022,,
ALFENAS,ALFENAS,SRE VARGINHA,EE DOUTOR ARLINDO SILVEIRA FILHO,escola.170780@educacao.mg.gov.br,x,24/05/2022,,
ALFENAS,ALFENAS,SRE VARGINHA,EE DOUTOR EMÍLIO SILVEIRA,escola.170798@educacao.mg.gov.br,x,24/05/2022,,
ALFENAS,ALFENAS,SRE VARGINHA,EE DOUTOR NAPOLEÃO SALLES,escola.170887@educacao.mg.gov.br,x,24/05/2022,,
ALFENAS,ALFENAS,SRE VARGINHA,EE JUDITH VIANNA,escola.170810@educacao.mg.gov.br,x,25/05/2022,,
ALFENAS,ALFENAS,SRE VARGINHA,EE PADRE JOSÉ GRIMMINCK,escola.170895@educacao.mg.gov.br,x,24/05/2022,,
ALFENAS,ALFENAS,SRE VARGINHA,EE PREFEITO ISMAEL BRASIL CORRÊA,escola.170844@educacao.mg.gov.br,x,25/05/2022,,
ALFENAS,ALFENAS,SRE VARGINHA,EE PROFESSOR LEVINDO LAMBERT,escola.170852@educacao.mg.gov.br,x,24/05/2022,,
ALFENAS,ALFENAS,SRE VARGINHA,EE PROFESSOR VIANA,escola.170861@educacao.mg.gov.br,x,24/06/2022,,
ALFENAS,ALFENAS,SRE VARGINHA,EE SAMUEL ENGEL,escola.170879@educacao.mg.gov.br,x,24/05/2022,,
ALFREDO VASCONCELOS,SÃO JOÃO DEL REI,SRE BARBACENA,EE NOSSA SENHORA DO ROSÁRIO,escola.16012@educacao.mg.gov.br,X,17/05/2022,17/05/2022,
ALMENARA,ALMENARA,SRE ALMENARA,CESEC QUERUBIM FRÓES OTONI,escola.184578@educacao.mg.gov.br,X,23/05/2022,23/05/2022,
ALMENARA,ALMENARA,SRE ALMENARA,EE CONDE AFONSO CELSO,escola.184527@educacao.mg.gov.br,X,23/05/2022,23/05/2022,
ALMENARA,ALMENARA,SRE ALMENARA,EE DE PEDRA GRANDE,escola.184608@educacao.mg.gov.br,X,23/05/2022,23/05/2022,
ALMENARA,ALMENARA,SRE ALMENARA,EE JOEL MARES,escola.246336@educacao.mg.gov.br,X,23/05/2022,23/05/2022,
ALMENARA,ALMENARA,SRE ALMENARA,EE JOVIANO NAVES,escola.184551@educacao.mg.gov.br,X,23/05/2022,23/05/2022,
ALMENARA,ALMENARA,SRE ALMENARA,EE LAUDELINA DIAS LACERDA,escola.184543@educacao.mg.gov.br,X,23/05/2022,23/05/2022,
ALMENARA,ALMENARA,SRE ALMENARA,EE TANCREDO NEVES,escola.184519@educacao.mg.gov.br,X,23/05/2022,23/05/2022,
ALPERCATA,GOVERNADOR VALADARES,SRE GOVERNADOR VALADARES,EE TEREZINHA PINTO FERNANDES MAIA,escola.41963@educacao.mg.gov.br,,24/05/2022,24/05/2022,
ALPINÓPOLIS,PASSOS,SRE PASSOS,CESEC DOUTOR HÉLIO FERREIRA LOPES,escola.114898@educacao.mg.gov.br,,,03/06/2022,
ALPINÓPOLIS,PASSOS,SRE PASSOS,EE DOM JOÃO VI,escola.114863@educacao.mg.gov.br,,07/06/2022,03/06/2022,
ALPINÓPOLIS,PASSOS,SRE PASSOS,EE DONA INDÁ,escola.114855@educacao.mg.gov.br,,,03/06/2022,
ALTEROSA,ALFENAS,SRE POÇOS DE CALDAS,EE BOLÍVAR BOANERGES DA SILVEIRA,escola.123668@educacao.mg.gov.br,x,24/05/2022,24/05/2022,
ALTEROSA,ALFENAS,SRE POÇOS DE CALDAS,EE DEPUTADO JALES MACHADO,escola.123684@educacao.mg.gov.br,x,24/05/2022,24/05/2022,
ALTO CAPARAÓ,MANHUAÇU,SRE CARANGOLA,EE CORONEL AMÉRICO VESPÚCIO CARVALHO,escola.96792@educacao.mg.gov.br,Sem convênio,Sem convênio,Sem convênio,
ALTO JEQUITIBÁ,MANHUAÇU,SRE MANHUAÇU,EE PADRE JÚLIO MARIA,escola.75736@educacao.mg.gov.br,x,27/05/2022,26/05/2022,
ALTO JEQUITIBÁ,MANHUAÇU,SRE MANHUAÇU,EE PROFESSORA MARIA DA GLÓRIA VALLE,escola.75710@educacao.mg.gov.br,x,26/05/2022,26/05/2022,
ALTO JEQUITIBÁ,MANHUAÇU,SRE MANHUAÇU,EE REVERENDO CÍCERO SIQUEIRA,escola.75728@educacao.mg.gov.br,x,27/05/2022,26/05/2022,
ALTO RIO DOCE,SÃO JOÃO DEL REI,SRE BARBACENA,EE ANTONINO TEIXEIRA DE CARVALHO,escola.14699@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
ALTO RIO DOCE,SÃO JOÃO DEL REI,SRE BARBACENA,EE DOUTOR JOSÉ OTÁVIO COUTO MOTA,escola.14737@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
ALTO RIO DOCE,SÃO JOÃO DEL REI,SRE BARBACENA,EE SÃO JOSÉ,escola.14681@educacao.mg.gov.br,x,27/05/2022,27/05/2022,
ALVARENGA,GOVERNADOR VALADARES,SRE CARATINGA,EE GOVERNADOR BIAS FORTES,escola.19046@educacao.mg.gov.br,X,24/05/2022,19/05/2022,
ALVINÓPOLIS,PONTE NOVA,SRE PONTE NOVA,EE ANTÔNIO CARLOS,escola.128252@educacao.mg.gov.br,X,30/05/2022,,
ALVINÓPOLIS,PONTE NOVA,SRE PONTE NOVA,EE DESEMBARGADOR BARCELOS CORREA,escola.128261@educacao.mg.gov.br,X,27/05/2022,,
ALVINÓPOLIS,PONTE NOVA,SRE PONTE NOVA,EE GOVERNADOR BIAS FORTES,escola.322806@educacao.mg.gov.br,X,27/05/2022,,
ALVINÓPOLIS,PONTE NOVA,SRE PONTE NOVA,EE PROFESSOR CÂNDIDO GOMES,escola.128244@educacao.mg.gov.br,X,27/05/2022,,
ALVORADA DE MINAS,DIAMANTINA,SRE DIAMANTINA,EE JOSÉ DANIEL UTSCH,escola.23027@educacao.mg.gov.br,,23/05/2022,20/05/2022,
ALVORADA DE MINAS,DIAMANTINA,SRE DIAMANTINA,EE JOSÉ MADUREIRA HORTA,escola.23019@educacao.mg.gov.br,,21/05/2022,20/05/2022,
ALVORADA DE MINAS,DIAMANTINA,SRE DIAMANTINA,EE SÃO JOSÉ DE JASSÉM,escola.23051@educacao.mg.gov.br,,23/05/2022,20/05/2022,
AMPARO DO SERRA,PONTE NOVA,SRE PONTE NOVA,EE ALFREDO DO CARMO,escola.128279@educacao.mg.gov.br,x,27/05/2022,,
ANDRADAS,GUAXUPÉ,SRE POÇOS DE CALDAS,EE ADOLFO FIRMINO SOUZA MARQUES,escola.123773@educacao.mg.gov.br,x,10/06/2022,27/05/2022,
ANDRADAS,GUAXUPÉ,SRE POÇOS DE CALDAS,EE CORONEL JOÃO MOSCONI,escola.123706@educacao.mg.gov.br,x,13/06/2022,27/05/2022,
ANDRADAS,GUAXUPÉ,SRE POÇOS DE CALDAS,EE DANIEL RIBEIRO MOGGI,escola.123757@educacao.mg.gov.br,x,13/06/2022,27/05/2022,
ANDRADAS,GUAXUPÉ,SRE POÇOS DE CALDAS,EE DOUTOR ALCIDES MOSCONI,escola.123714@educacao.mg.gov.br,x,13/06/2022,27/05/2022,
ANDRADAS,GUAXUPÉ,SRE POÇOS DE CALDAS,EE PROFESSOR EDMUNDO VIEIRA,escola.123731@educacao.mg.gov.br,x,30/05/2022,27/05/2022,
ANDRELÂNDIA,SÃO JOÃO DEL REI,SRE BARBACENA,EE VISCONDE DE ARANTES,escola.14842@educacao.mg.gov.br,X,08/06/2022,08/06/2022,
ANGELÂNDIA,CAPELINHA,SRE DIAMANTINA,EE AUGUSTO BARBOSA,escola.23345@educacao.mg.gov.br,X,01/06/2022,26/05/2022,
ANGELÂNDIA,CAPELINHA,SRE DIAMANTINA,EE IVETA GOMES SANTANA,escola.330604@educacao.mg.gov.br,X,27/05/2022,26/05/2022,
ANTÔNIO CARLOS,SÃO JOÃO DEL REI,SRE BARBACENA,EE JOSÉ GONÇALVES DE ARAÚJO,escola.14923@educacao.mg.gov.br,X,27/05/2022,23/05/2022,
ANTÔNIO CARLOS,SÃO JOÃO DEL REI,SRE BARBACENA,EE LIMA DUARTE,escola.239372@educacao.mg.gov.br,X,27/05/2022,23/05/2022,
ANTÔNIO CARLOS,SÃO JOÃO DEL REI,SRE BARBACENA,EE SENADOR ANTÔNIO CARLOS,escola.14974@educacao.mg.gov.br,x,27/05/2022,23/05/2022,
ANTÔNIO DIAS,IPATINGA,SRE CORONEL FABRICIANO,EE CORONEL FABRICIANO FELISBERTO DE BRITO,escola.190641@educacao.mg.gov.br,,26/05/2022,26/05/2022,
ANTÔNIO DIAS,IPATINGA,SRE CORONEL FABRICIANO,EE GERMANO PEDRO DE SOUZA,escola.190705@educacao.mg.gov.br,x,26/05/2022,26/05/2022,
ANTÔNIO DIAS,IPATINGA,SRE CORONEL FABRICIANO,EE PROFESSOR LETRO,escola.190683@educacao.mg.gov.br,x,26/05/2022,26/05/2022,
ANTÔNIO DIAS,IPATINGA,SRE CORONEL FABRICIANO,EE VICENTE INÁCIO BISPO,escola.190659@educacao.mg.gov.br,x,26/05/2022,26/05/2022,
ANTÔNIO PRADO DE MINAS,MURIAÉ,SRE MURIAÉ,EE GERALDO ROCHA,escola.305278@educacao.mg.gov.br,x,,,
ARAÇAÍ,CURVELO,SRE SETE LAGOAS,EE PROFESSORA MARIA DA CONCEIÇÃO SILVA,escola.311189@educacao.mg.gov.br,,26/05/2022,26/05/2022,
ARACITABA,JUIZ DE FORA,SRE BARBACENA,EE CORONEL FRANCISCO HOMEM,escola.14991@educacao.mg.gov.br,x,26/05/2022,26/05/2022,
ARAÇUAÍ,SALINAS,SRE ARAÇUAÍ,EE ARTHUR BERGANHOLI,escola.146005@educacao.mg.gov.br,X,,,
ARAÇUAÍ,SALINAS,SRE ARAÇUAÍ,EE BOM JESUS DE AGUADA NOVA,escola.146013@educacao.mg.gov.br,X,,,
ARAÇUAÍ,SALINAS,SRE ARAÇUAÍ,EE DA FAZENDA DIAMANTINO,escola.146048@educacao.mg.gov.br,X,,,
ARAÇUAÍ,SALINAS,SRE ARAÇUAÍ,EE DOM JOSÉ DE HAAS,escola.146081@educacao.mg.gov.br,X,,,
ARAÇUAÍ,SALINAS,SRE ARAÇUAÍ,EE FREI ROGATO,escola.247707@educacao.mg.gov.br,X,,,
ARAÇUAÍ,SALINAS,SRE ARAÇUAÍ,EE HILÁRIO PINHEIRO JARDIM,escola.146161@educacao.mg.gov.br,X,,,
ARAÇUAÍ,SALINAS,SRE ARAÇUAÍ,EE INDUSTRIAL SÃO JOSÉ,escola.146099@educacao.mg.gov.br,X,,,
ARAÇUAÍ,SALINAS,SRE ARAÇUAÍ,EE ISALTINA CAJUBI FULGÊNCIO,escola.146102@educacao.mg.gov.br,X,,,
ARAÇUAÍ,SALINAS,SRE ARAÇUAÍ,EE JOSÉ DOS SANTOS NEIVA,escola.146170@educacao.mg.gov.br,X,,,
ARAÇUAÍ,SALINAS,SRE ARAÇUAÍ,EE PROFESSOR LEOPOLDO PEREIRA,escola.146129@educacao.mg.gov.br,X,,,
ARAÇUAÍ,SALINAS,SRE ARAÇUAÍ,EE PROFESSORA APARECIDA DUTRA,escola.145998@educacao.mg.gov.br,X,,,
ARAÇUAÍ,SALINAS,SRE ARAÇUAÍ,EE TEREZINHA GONÇALVES DOS SANTOS,escola.330809@educacao.mg.gov.br,X,,,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,CESEC JK,escola.166821@educacao.mg.gov.br,,30/05/2022,,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,COLÉGIO TIRADENTES DA PMMG - CTPM - UNIDADE ARAGUARI,escola.369993@educacao.mg.gov.br,,02/06/2022,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,CONSERVATÓRIO ESTADUAL MÚSICA E CENTRO INTERESCOLAR ARTES RAUL BELÉM,escola.166642@educacao.mg.gov.br,x,,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE ANTÔNIO NUNES CARVALHO FILHO,escola.166618@educacao.mg.gov.br,x,,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE ARTUR BERNARDES,escola.166839@educacao.mg.gov.br,x,,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE CORONEL LINDOLFO RODRIGUES CUNHA,escola.166855@educacao.mg.gov.br,x,,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE COSTA SENA,escola.166626@educacao.mg.gov.br,x,02/06/2022,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE DONA ELEONORA PIERUCCETTI,escola.166634@educacao.mg.gov.br,x,,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE ISOLINA FRANÇA SOARES TORRES,escola.166651@educacao.mg.gov.br,x,30/05/2022,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE JOSÉ CARNEIRO DA CUNHA,escola.166812@educacao.mg.gov.br,,30/05/2022,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE MADRE MARIA BLANDINA,escola.166685@educacao.mg.gov.br,x,,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE PADRE DAMIÃO,escola.166693@educacao.mg.gov.br,x,14/06/2022,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE PADRE EDUARDO JORDI,escola.330779@educacao.mg.gov.br,x,31/05/2022,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE PADRE ELÓI,escola.166804@educacao.mg.gov.br,,30/05/2022,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE PAES DE ALMEIDA,escola.166715@educacao.mg.gov.br,x,30/05/2022,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE PROFESSOR ANTÔNIO MARQUES,escola.166731@educacao.mg.gov.br,x,02/06/2022,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE PROFESSORA KATY BELEM,escola.166782@educacao.mg.gov.br,x,30/05/2022,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE RAUL SOARES,escola.166740@educacao.mg.gov.br,x,30/05/2022,30/05/2022,
ARAGUARI,UBERLÂNDIA,SRE UBERLÂNDIA,EE SÃO JUDAS TADEU,escola.166766@educacao.mg.gov.br,x,,30/05/2022,
ARANTINA,JUIZ DE FORA,SRE JUIZ DE FORA,EE PADRE FRANCISCO REY,escola.67881@educacao.mg.gov.br,x,25/05/2022,25/05/2022,
ARAPONGA,VIÇOSA,SRE PONTE NOVA,EE CÔNEGO JOSÉ ERMELINDO DE SOUZA,escola.128325@educacao.mg.gov.br,x,15/06/2022,,
ARAPONGA,VIÇOSA,SRE PONTE NOVA,EE JOSÉ DIAS DO CARMO,escola.128341@educacao.mg.gov.br,x,29/06/2022,,
ARAPORÃ,UBERLÂNDIA,SRE UBERLÂNDIA,EE MÁRIO SIDNEY FRANCESCHI,escola.167207@educacao.mg.gov.br,,26/05/2022,20/05/2022,
ARAPUÁ,PATOS DE MINAS,SRE PATOS DE MINAS,EE MANOEL GONÇALVES BOAVENTURA,escola.118419@educacao.mg.gov.br,x,26/05/2022,25/05/2022,
ARAÚJOS,DIVINÓPOLIS,SRE DIVINÓPOLIS,EE JOSÉ MANOEL,escola.31984@educacao.mg.gov.br,x,23/05/2022,23/05/2022,
ARAXÁ,UBERABA,SRE UBERABA,EE ARMANDO SANTOS,escola.158178@educacao.mg.gov.br,x,30/05/2022,,
ARAXÁ,UBERABA,SRE UBERABA,EE CORONEL JOSÉ ADOLFO AGUIAR,escola.158186@educacao.mg.gov.br,,27/05/2022,,
ARAXÁ,UBERABA,SRE UBERABA,EE DELFIM MOREIRA,escola.158208@educacao.mg.gov.br,x,,,
ARAXÁ,UBERABA,SRE UBERABA,EE DOM JOSÉ GASPAR,escola.158224@educacao.mg.gov.br,x,,,
ARAXÁ,UBERABA,SRE UBERABA,EE DOUTOR EDUARDO MONTANDON,escola.158232@educacao.mg.gov.br,,14/06/2022,,
ARAXÁ,UBERABA,SRE UBERABA,EE LIA SALGADO,escola.158259@educacao.mg.gov.br,x,,,
ARAXÁ,UBERABA,SRE UBERABA,EE LOREN RIOS FERES,escola.158330@educacao.mg.gov.br,,14/06/2022,,
ARAXÁ,UBERABA,SRE UBERABA,EE LUIZA DE OLIVEIRA FARIA,escola.158267@educacao.mg.gov.br,,14/06/2022,,
ARAXÁ,UBERABA,SRE UBERABA,EE MARIA DE MAGALHÃES,escola.158275@educacao.mg.gov.br,x,,,
ARAXÁ,UBERABA,SRE UBERABA,EE PADRE ANACLETO GIRALDI,escola.158216@educacao.mg.gov.br,x,20/06/2022,,
ARAXÁ,UBERABA,SRE UBERABA,EE PADRE JOÃO BOTELHO,escola.158291@educacao.mg.gov.br,,,,
ARAXÁ,UBERABA,SRE UBERABA,EE PIO XII,escola.158305@educacao.mg.gov.br,x,24/05/2022,20/05/2022,
ARAXÁ,UBERABA,SRE UBERABA,EE PROFESSOR LUIZ ANTÔNIO CORRÊA OLIVEIRA,escola.158194@educacao.mg.gov.br,,20/06/2022,27/05/2022,
ARAXÁ,UBERABA,SRE UBERABA,EE ROTARY,escola.218502@educacao.mg.gov.br,x,31/05/2022,,
ARAXÁ,UBERABA,SRE UBERABA,EE VASCO SANTOS,escola.158313@educacao.mg.gov.br,x,14/06/2022,,
ARCEBURGO,GUAXUPÉ,SRE SÃO SEBASTIÃO DO PARAÍSO,EE CORONEL LUCAS MAGALHÃES,escola.136875@educacao.mg.gov.br,x,23/05/2022,23/05/2022,
